Person,Gender,y,Age
1,F,21,8
1,F,20,10
1,F,21.5,12
1,F,23,14
2,F,21,8
2,F,21.5,10
2,F,24,12
2,F,25.5,14
3,F,20.5,8
3,F,24,10
3,F,24.5,12
3,F,26,14
4,F,23.5,8
4,F,24.5,10
4,F,25,12
4,F,26.5,14
5,F,21.5,8
5,F,23,10
5,F,22.5,12
5,F,23.5,14
6,F,20,8
6,F,21,10
6,F,21,12
6,F,22.5,14
7,F,21.5,8
7,F,22.5,10
7,F,23,12
7,F,25,14
8,F,23,8
8,F,23,10
8,F,23.5,12
8,F,24,14
9,F,20,8
9,F,21,10
9,F,22,12
9,F,21.5,14
10,F,16.5,8
10,F,19,10
10,F,19,12
10,F,19.5,14
11,F,24.5,8
11,F,25,10
11,F,28,12
11,F,28,14
12,M,26,8
12,M,25,10
12,M,29,12
12,M,31,14
13,M,21.5,8
13,M,22.5,10
13,M,23,12
13,M,26.5,14
14,M,23,8
14,M,22.5,10
14,M,24,12
14,M,27.5,14
15,M,25.5,8
15,M,27.5,10
15,M,26.5,12
15,M,27,14
16,M,20,8
16,M,23.5,10
16,M,22.5,12
16,M,26,14
17,M,24.5,8
17,M,25.5,10
17,M,27,12
17,M,28.5,14
18,M,22,8
18,M,22,10
18,M,24.5,12
18,M,26.5,14
19,M,24,8
19,M,21.5,10
19,M,24.5,12
19,M,25.5,14
20,M,23,8
20,M,20.5,10
20,M,31,12
20,M,26,14
21,M,27.5,8
21,M,28,10
21,M,31,12
21,M,31.5,14
22,M,23,8
22,M,23,10
22,M,23.5,12
22,M,25,14
23,M,21.5,8
23,M,23.5,10
23,M,24,12
23,M,28,14
24,M,17,8
24,M,24.5,10
24,M,26,12
24,M,29.5,14
25,M,22.5,8
25,M,25.5,10
25,M,25.5,12
25,M,26,14
26,M,23,8
26,M,24.5,10
26,M,26,12
26,M,30,14
27,M,22,8
27,M,21.5,10
27,M,23.5,12
27,M,25,14
